2023-11-01 09:43:43.8002||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:43:43.8002||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature.png |url: |action: 
2023-11-01 09:43:43.8268||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:43:43.8268||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:43:43.8286||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 53368 |url: |action: 
2023-11-01 09:44:48.6098||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:44:48.6098||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature.png |url: |action: 
2023-11-01 09:44:48.6098||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:44:48.6281||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:44:48.6281||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 53368 |url: |action: 
2023-11-01 09:46:25.3769||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:46:25.3769||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature_image.jpg |url: |action: 
2023-11-01 09:46:25.4018||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:46:25.4120||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:46:25.4120||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 52590 |url: |action: 
2023-11-01 09:47:44.7978||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:47:44.7978||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature_image.jpg |url: |action: 
2023-11-01 09:47:44.7978||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:47:44.8210||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:47:44.8210||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 52590 |url: |action: 
2023-11-01 09:48:38.1657||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:48:38.1657||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature_image.jpg |url: |action: 
2023-11-01 09:48:38.1731||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:48:38.1731||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:48:38.1731||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 52590 |url: |action: 
2023-11-01 09:51:27.1299||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:51:27.1299||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature_image.jpg |url: |action: 
2023-11-01 09:51:27.1299||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:51:27.1537||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:51:27.1537||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 52590 |url: |action: 
2023-11-01 09:52:35.3541||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:52:35.3603||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature_image.jpg |url: |action: 
2023-11-01 09:52:35.3603||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:52:35.3818||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:52:35.3818||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 52590 |url: |action: 
2023-11-01 09:54:28.4164||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-11-01 09:54:28.4164||DEBUG|DigitalSignaturePdfFileSign|SignatureImagePath: E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\bin\Release\netcoreapp3.1\signature_image.jpg |url: |action: 
2023-11-01 09:54:28.4239||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2311010001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '026084000490' |url: |action: 
2023-11-01 09:54:28.4239||DEBUG|DigitalSignaturePdfFileSign|File Length: 310685 |url: |action: 
2023-11-01 09:54:28.4239||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 52590 |url: |action: 
